id,section_id/id,user_id/id
res.partner_ADSCHI,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ADSCHO,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ADVENT,crm_case_section_Pays-Bas,base.users_sbe
res.partner_AE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_AEPARI,crm_case_section_Export,base.users_dso
res.partner_AGEMY,crm_case_section_Flandres,base.users_cfr
res.partner_AGTERH,crm_case_section_Pays-Bas,base.users_sbe
res.partner_AHNERT,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_AIRF,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AIRFR,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AIRFRA,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AIRLIN,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AIS,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_AK,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ALACOL,crm_case_section_Wallonie,base.users_nda
res.partner_ALADDI,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ALBIBI,crm_case_section_Export,base.users_dso
res.partner_ALCO,crm_case_section_Flandres,base.users_cfr
res.partner_ALCOAA,crm_case_section_Flandres,base.users_cfr
res.partner_ALCODE,crm_case_section_Flandres,base.users_cfr
res.partner_ALDISS,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ALDIZE,crm_case_section_Export,base.users_dso
res.partner_ALEMAN,crm_case_section_Export,base.users_dso
res.partner_ALESSI,crm_case_section_Autriche,base.users_dke
res.partner_ALEX,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ALEXA1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ALIMEN,crm_case_section_Wallonie,base.users_nda
res.partner_ALIXBO,crm_case_section_Sud,base.users_lmi
res.partner_ALLEGR,crm_case_section_Nord,base.users_mer
res.partner_ALLERS,crm_case_section_Nord,base.users_mer
res.partner_ALLESZ,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ALLROI,crm_case_section_Flandres,base.users_cfr
res.partner_ALLSPO,crm_case_section_Flandres,base.users_cfr
res.partner_ALLUR1,crm_case_section_Rome,base.users_ige
res.partner_ALLURE,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ALTENB,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ALTREC,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ALYS,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AM,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_AMAZO1,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_AMAZON,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_AMBEST,crm_case_section_Export,base.users_dso
res.partner_AMBIA1,crm_case_section_Wallonie,base.users_nda
res.partner_AMBITI,crm_case_section_Nord,base.users_mer
res.partner_AMBRE1,crm_case_section_Wallonie,base.users_nda
res.partner_AMDFRA,crm_case_section_Sud,base.users_lmi
res.partner_AMENDO,crm_case_section_Wallonie,base.users_nda
res.partner_AMERI,crm_case_section_Pays-Bas,base.users_sbe
res.partner_AMI,crm_case_section_Export,base.users_dso
res.partner_AMIGLO,crm_case_section_Wallonie,base.users_nda
res.partner_AMMARK,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_AMOEBA,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_AMOREB,crm_case_section_Export,base.users_dso
res.partner_AMPJ,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AMPOLL,crm_case_section_Wallonie,base.users_nda
res.partner_AMSAL1,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ANAHIT,crm_case_section_Export,base.users_dso
res.partner_ANAIS1,crm_case_section_Nord,base.users_mer
res.partner_ANAITI,crm_case_section_Wallonie,base.users_nda
res.partner_ANCA,crm_case_section_Flandres,base.users_cfr
res.partner_AND,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ANDRAE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ANDREA,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ANDREW,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ANDUGA,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ANGEL,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ANIS,crm_case_section_Export,base.users_dso
res.partner_ANJOU1,crm_case_section_Nord,base.users_mer
res.partner_ANNAG1,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_ANNIMO,crm_case_section_Flandres,base.users_cfr
res.partner_ANOLI1,crm_case_section_Nord,base.users_mer
res.partner_ANTAUE,crm_case_section_Autriche,base.users_dke
res.partner_ANTIL,crm_case_section_Flandres,base.users_cfr
res.partner_ANTILO,crm_case_section_Wallonie,base.users_nda
res.partner_ANTONE,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AO2C,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_APOTHE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_APPOLO,crm_case_section_Pays-Bas,base.users_sbe
res.partner_AQUARI,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ARA,crm_case_section_Flandres,base.users_cfr
res.partner_ARCADE,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ARCADO,crm_case_section_Wallonie,base.users_nda
res.partner_ARCDEM,crm_case_section_Export,base.users_dso
res.partner_ARCEN1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ARCY,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AREAN,crm_case_section_Export,base.users_dso
res.partner_ARENDS,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ARGENT,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ARIANE,crm_case_section_Export,base.users_dso
res.partner_ARKODO,crm_case_section_Export,base.users_dso
res.partner_ARKOME,crm_case_section_Sud,base.users_lmi
res.partner_ARKOPB,crm_case_section_Wallonie,base.users_nda
res.partner_ARKOPH,crm_case_section_Export,base.users_dso
res.partner_ARNAL,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ARNOL1,crm_case_section_Export,base.users_dso
res.partner_ARNOL2,crm_case_section_Wallonie,base.users_nda
res.partner_ARRETD,crm_case_section_Sud,base.users_lmi
res.partner_ARTANI,crm_case_section_Export,base.users_dso
res.partner_ARTCA2,crm_case_section_Nord,base.users_mer
res.partner_ARTCAN,crm_case_section_Nord,base.users_mer
res.partner_ARTDEV,crm_case_section_Wallonie,base.users_nda
res.partner_ARTDU1,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ARTDU2,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ARTEEL,crm_case_section_Flandres,base.users_cfr
res.partner_ARTET,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ARTET1,crm_case_section_Sud,base.users_lmi
res.partner_ARTETG,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ARTETO,crm_case_section_Sud,base.users_lmi
res.partner_ARTEXP,crm_case_section_Nord,base.users_mer
res.partner_ARTH,crm_case_section_Nord,base.users_mer
res.partner_ARTHU,crm_case_section_Nord,base.users_mer
res.partner_ARTHU1,crm_case_section_Export,base.users_dso
res.partner_ARTHU2,crm_case_section_Nord,base.users_mer
res.partner_ARTHUR,crm_case_section_Nord,base.users_mer
res.partner_ARTIC1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ARTIST,crm_case_section_Flandres,base.users_cfr
res.partner_ASCOT1,crm_case_section_Export,base.users_dso
res.partner_ASDETR,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_ASIE,crm_case_section_Nord,base.users_mer
res.partner_ASKDIS,crm_case_section_Nord,base.users_mer
res.partner_ASKL,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_ASPELL,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ASPEN,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_ASSOCI,crm_case_section_Wallonie,base.users_nda
res.partner_ATELIE,crm_case_section_Nord,base.users_mer
res.partner_ATGRO,crm_case_section_Pays-Bas,base.users_sbe
res.partner_ATHTEX,crm_case_section_Wallonie,base.users_nda
res.partner_ATOU,crm_case_section_Nord,base.users_mer
res.partner_ATTIC,crm_case_section_Nord,base.users_mer
res.partner_AUBALU,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AUBER,crm_case_section_Sud,base.users_lmi
res.partner_AUBERT,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AUCABA,crm_case_section_Nord,base.users_mer
res.partner_AUCADE,crm_case_section_Nord,base.users_mer
res.partner_AUCAS1,crm_case_section_Sud,base.users_lmi
res.partner_AUCASD,crm_case_section_Sud,base.users_lmi
res.partner_AUGREN,crm_case_section_Export,base.users_dso
res.partner_AULEZ,crm_case_section_Nord,base.users_mer
res.partner_AUPET2,crm_case_section_Nord,base.users_mer
res.partner_AUPTIT,crm_case_section_Wallonie,base.users_nda
res.partner_AUSACC,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AUSEL1,crm_case_section_Nord,base.users_mer
res.partner_AUTOU1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AUXBON,crm_case_section_Sud,base.users_lmi
res.partner_AUXCA,crm_case_section_Sud,base.users_lmi
res.partner_AUXTRE,crm_case_section_Wallonie,base.users_nda
res.partner_AVA001,crm_case_section_Flandres,base.users_cfr
res.partner_AVICUL,crm_case_section_Nord,base.users_mer
res.partner_AVITEX,crm_case_section_Wallonie,base.users_nda
res.partner_AWASCH,crm_case_section_Flandres,base.users_cfr
res.partner_AWJUWE,crm_case_section_Flandres,base.users_cfr
res.partner_AXANTI,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_AXCUIR,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AXEL1,crm_case_section_Export,base.users_dso
res.partner_AXESS,crm_case_section_Flandres,base.users_cfr
res.partner_AZARIA,crm_case_section_Nord,base.users_mer
res.partner_AZUR,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_AZURGM,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BABETT,crm_case_section_Export,base.users_dso
res.partner_BABYBE,crm_case_section_Flandres,base.users_cfr
res.partner_BABYL1,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BABYLO,crm_case_section_Export,base.users_dso
res.partner_BACCUS,crm_case_section_Wallonie,base.users_nda
res.partner_BACHMA,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BACHO1,crm_case_section_Export,base.users_dso
res.partner_BADTKE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAGAG1,crm_case_section_Wallonie,base.users_nda
res.partner_BAGAGE,crm_case_section_Export,base.users_dso
res.partner_BAGAMA,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGAN1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BAGAND,crm_case_section_Export,base.users_dso
res.partner_BAGAPA,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGAS,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGASA,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGAST,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGATE,crm_case_section_Wallonie,base.users_nda
res.partner_BAGAVE,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGCU1,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGCUI,crm_case_section_Sud,base.users_lmi
res.partner_BAGGYS,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BAGISL,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGL,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGLU,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGMAD,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGMAR,crm_case_section_Sud,base.users_lmi
res.partner_BAGNBA,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BAGORA,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGORO,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGPLU,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGROY,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BAGS2G,crm_case_section_Sud,base.users_gjo
res.partner_BAGSAF,crm_case_section_Export,base.users_dso
res.partner_BAGSBA,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BAGSBO,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BAGSHO,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAGSTR,crm_case_section_Nord,base.users_mer
res.partner_BAGTH1,crm_case_section_Nord,base.users_mer
res.partner_BAGTH3,crm_case_section_Nord,base.users_mer
res.partner_BAGTH5,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BAGXS1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BAGYOU,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAILLI,crm_case_section_Flandres,base.users_cfr
res.partner_BAJRON,crm_case_section_Export,base.users_dso
res.partner_BAKER1,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BAKK,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BAKKER,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BALAZ1,crm_case_section_Export,base.users_dso
res.partner_BALLAD,crm_case_section_Wallonie,base.users_nda
res.partner_BALLAR,crm_case_section_Export,base.users_dso
res.partner_BALUCH,crm_case_section_Nord,base.users_mer
res.partner_BANDLE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAO1,crm_case_section_Nord,base.users_mer
res.partner_BARB01,crm_case_section_Nord,base.users_mer
res.partner_BARBA1,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BARBAT,crm_case_section_Export,base.users_dso
res.partner_BARONI,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BARRE1,crm_case_section_Sud,base.users_lmi
res.partner_BARRET,crm_case_section_Sud,base.users_lmi
res.partner_BARTON,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BASKIN,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BASSAL,crm_case_section_Sud,base.users_lmi
res.partner_BATTI1,crm_case_section_Wallonie,base.users_nda
res.partner_BAUER,crm_case_section_Export,base.users_dso
res.partner_BAUERG,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAUSSE,crm_case_section_Wallonie,base.users_nda
res.partner_BAXXLE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BAYAR,crm_case_section_Export,base.users_dso
res.partner_BCBOUT,crm_case_section_Nord,base.users_mer
res.partner_BDO,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BEALES,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BEAUSO,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BEAUT,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BEAUT2,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BEAUTE,crm_case_section_Sud,base.users_lmi
res.partner_BECKE1,crm_case_section_Wallonie,base.users_nda
res.partner_BEHRIN,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BELDEX,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BELGOM,crm_case_section_Export,base.users_dso
res.partner_BELLE,crm_case_section_Wallonie,base.users_nda
res.partner_BELLIS,crm_case_section_Flandres,base.users_cfr
res.partner_BEMON,crm_case_section_Sud,base.users_lmi
res.partner_BENCHM,crm_case_section_Nord,base.users_mer
res.partner_BENNOM,crm_case_section_Autriche,base.users_dke
res.partner_BENTAL,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BENZUT,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BEQUEM,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BERCAB,crm_case_section_Flandres,base.users_cfr
res.partner_BERGE1,crm_case_section_Nord,base.users_mer
res.partner_BERGE2,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BERMAS,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BERRYS,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BERTAU,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BERTIN,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BERTUZ,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BERVAE,crm_case_section_Export,base.users_dso
res.partner_BESACE,crm_case_section_Nord,base.users_mer
res.partner_BESCOS,crm_case_section_Export,base.users_dso
res.partner_BESSIN,crm_case_section_Export,base.users_dso
res.partner_BESTWA,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BETHUY,crm_case_section_Flandres,base.users_cfr
res.partner_BEUWER,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BEYREI,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BIEDER,crm_case_section_Export,base.users_dso
res.partner_BIJDET,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BIJOU1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BIJOUR,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BIP001,crm_case_section_Wallonie,base.users_nda
res.partner_BIRDHO,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BISHOP,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BJCTRA,crm_case_section_Wallonie,base.users_nda
res.partner_BLEEKE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BLETIM,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BLOEME,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BLOKK1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BLOKKE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BLUEBE,crm_case_section_Nord,base.users_mer
res.partner_BLUESA,crm_case_section_Export,base.users_dso
res.partner_BLUMEL,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BMF,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BOBBYS,crm_case_section_Wallonie,base.users_nda
res.partner_BOCKMA,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BOEREM,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOFING,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BOGES1,crm_case_section_Flandres,base.users_cfr
res.partner_BOGIA2,crm_case_section_Export,base.users_dso
res.partner_BOLL,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BONJOU,crm_case_section_Export,base.users_dso
res.partner_BONTE,crm_case_section_Flandres,base.users_cfr
res.partner_BOOMSM,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOOSTE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOOT,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BORGER,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BORMAN,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BORNEM,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOROS,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BOROS1,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BOROS2,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BOROS3,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BOROS4,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BORS,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BORSAL,crm_case_section_Wallonie,base.users_nda
res.partner_BORSEL,crm_case_section_Flandres,base.users_cfr
res.partner_BORSUT,crm_case_section_Wallonie,base.users_nda
res.partner_BORYS1,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BORYS4,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BORYS5,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BOSBOO,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOSCH,crm_case_section_Wallonie,base.users_nda
res.partner_BOSHAN,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BOSWIN,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOTTCH,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BOTTEO,crm_case_section_Export,base.users_dso
res.partner_BOUCHA,crm_case_section_Wallonie,base.users_nda
res.partner_BOUCLE,crm_case_section_Nord,base.users_mer
res.partner_BOUDEW,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BOUDRY,crm_case_section_Nord,base.users_mer
res.partner_BOULA1,crm_case_section_Nord,base.users_mer
res.partner_BOULAG,crm_case_section_Sud,base.users_lmi
res.partner_BOULE,crm_case_section_Nord,base.users_mer
res.partner_BOUS,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BOUSQ,crm_case_section_Sud,base.users_lmi
res.partner_BOUT,crm_case_section_Nord,base.users_mer
res.partner_BOUTHO,crm_case_section_Export,base.users_dso
res.partner_BOUTI1,crm_case_section_Nord,base.users_mer
res.partner_BOUTI2,crm_case_section_Nord,base.users_mer
res.partner_BOUTI3,crm_case_section_Nord,base.users_mer
res.partner_BOUTI4,crm_case_section_Sud,base.users_lmi
res.partner_BOUTIC,crm_case_section_Nord,base.users_mer
res.partner_BOUTIQ,crm_case_section_Nord,base.users_mer
res.partner_BOUTSG,crm_case_section_Wallonie,base.users_nda
res.partner_BOX,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BOY,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BRABA,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BRABAN,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BRADLE,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BRAN,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BRAND1,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BRANDS,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BRANEL,crm_case_section_Export,base.users_dso
res.partner_BRASS,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BRECHM,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BREMME,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BREVAN,crm_case_section_Wallonie,base.users_nda
res.partner_BREWER,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BRIAR1,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BRICAB,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BROADL,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BRONSE,crm_case_section_Flandres,base.users_cfr
res.partner_BRUGL1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BRULH,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BRUNEA,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BRUNEL,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BRUSSE,crm_case_section_Flandres,base.users_cfr
res.partner_BRUUNS,crm_case_section_Export,base.users_dso
res.partner_BRYSSE,crm_case_section_Flandres,base.users_cfr
res.partner_BUGETJ,crm_case_section_Paris&Périphérie,base.users_dgi
res.partner_BULL,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BULLE1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BUMBLE,crm_case_section_Flandres,base.users_cfr
res.partner_BUR,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUREA1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUREA2,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BURECO,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BURG1,crm_case_section_Wallonie,base.users_nda
res.partner_BURKH1,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BURKHA,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BUROD2,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROD3,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROD4,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROD5,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BURODI,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROEP,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROLO,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROR1,crm_case_section_Wallonie,base.users_nda
res.partner_BUROSA,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROT0,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROT1,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROT2,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BUROTE,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BURRIC,crm_case_section_Flandres,base.users_cfr
res.partner_BURRS,crm_case_section_Export,base.users_dso
res.partner_BURSEP,crm_case_section_SudOuest&SudParis,base.users_gro
res.partner_BURYMO,crm_case_section_Export,base.users_dso
res.partner_BUSCHE,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BUSQUE,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BUTWEL,crm_case_section_Grande-Bretagne,base.users_wto
res.partner_BUYUKS,crm_case_section_NordEst&Berlin,base.users_rju
res.partner_BUZZAN,crm_case_section_Export,base.users_dso
res.partner_BYOUX1,crm_case_section_Pays-Bas,base.users_sbe
res.partner_BYRON1,crm_case_section_Sud,base.users_lmi
res.partner_BYSANT,crm_case_section_Nord,base.users_mer
res.partner_CACBAS,crm_case_section_Wallonie,base.users_nda
res.partner_CACBER,crm_case_section_Wallonie,base.users_nda
res.partner_CACHOW,crm_case_section_Wallonie,base.users_nda
