id,name,active,is_company,state_id/id,street,street2,zip,city,country_id/id,property_payment_term/id,phone,fax,email,website,ref,lang,sageecommerce,pwecommerce,property_account_position
res.partner_ABREGE,ABREGE,True,True,,"274, AVENUE GALIENNI",CC LES PORTES DE RIORGES,42153,RIORGES,base.fr,account_payment_term.60joursfindemois,0033 477675233,,abrege@sfr.fr,,ABREGE,French / Français,ABREGE,makab608,Régime Intra-Communautaire
res.partner_ABTELE,AB TELEVISION,True,True,,"132, AVENUE DU PRESIDENT WILSON",,93210,LA PLAINE SAINT-DENIS,base.fr,account_payment_term.60joursfindemois,0033 149172644,,,,ABTELE,French / Français,ABTELE,gojin346,Régime Intra-Communautaire
res.partner_ACCESS,ACCESSCOM.SK S.R.O.,True,True,,KUKUCINOVA 6571,,960 01,ZVOLEN,base.za,account_payment_term.ttbeforeshipment,00421 455322870,320.42.09.47,accessori@stonline.sk,,ACCESS,French / Français,ACCESS,venum464,Régime Intra-Communautaire
res.partner_ACDABA,BAG - SARL ACDA MAROQUINERIE ,True,True,,"67, GRANDE RUE",,71100,CHALON SUR SAONE,base.fr,account_payment_term.60joursfindemois,0033 385480871,,maroquineriebag@free.fr,,ACDABA,French / Français,ACDABA,gobej664,Régime Intra-Communautaire
res.partner_ACHTE1,ACHTER DE SCHERM,True,True,,8 MARKT ,,9550,HERZELE,base.be,account_payment_term.30joursnet,053.62.12.26,,,,ACHTE1,Dutch / Nederlands,ACHTE1,xafaz476,Régime National
res.partner_ACTEDE,ACTE DE PRESENCE,True,True,,POSTBUS 95,,5595,ZH LEENDE,base.nl,account_payment_term.30joursnet,040 2060100,040 2065155,,,ACTEDE,Dutch / Nederlands,ACTEDE,kovag221,Régime Intra-Communautaire
res.partner_ACTION,ACTION DE GOÛT,True,True,,"195, VOIE GEORGES POMPIDOU",,83300,DRAGUIGNAN,base.fr,account_payment_term.60joursfindemois,0033 494507514,0033 494507515,contact@promoflora.fr,,ACTION,French / Français,ACTION,sariz762,Régime Intra-Communautaire
res.partner_ACTIVD,ACTIV DESIGN SARL,True,True,,"2, RUE DE LA LOUVIERE",,25480,PIREY,base.fr,account_payment_term.60joursfindemois,0033 381521764,,,,ACTIVD,French / Français,ACTIVD,naxog041,Régime Intra-Communautaire
res.partner_ACTOPR,DE PERSGROEP ,True,True,,BRUSSELSESTEENWEG . 347,,1730,ASSE,base.be,account_payment_term.30joursnet,02 5821738,,,,ACTOPR,Dutch / Nederlands,ACTOPR,caxov622,Régime National
res.partner_ADALIS,ADALISA MAROQUINERIE,True,True,,"4, PLACE DES 3 ROIS",,68130,ALTKIRCH,base.fr,account_payment_term.60joursfindemois,0033 389409469,,,,ADALIS,French / Français,ADALIS,vajam112,Régime Intra-Communautaire
res.partner_ADAM01,ADAM PIERRE,True,True,,RUE FRANCOIS VEKEMANS 176,,1120,BRUXELLES,base.be,account_payment_term.30joursnet,02 2686460,,,,ADAM01,French / Français,ADAM01,tacem570,Régime National
res.partner_ADAMSO,ADAMSON LUGGAGE LTD.,True,True,,3 JOHNSON PLACE,(OFF SOUTH KING STREET),,DUBLIN 2,base.ie,account_payment_term.ttbeforeshipment,016 774622,016 774635,,,ADAMSO,English,ADAMSO,petel717,Régime Intra-Communautaire
res.partner_ADDECO,AD DECOR ,True,True,,GRAND RUE . 1,,4870,TROOZ,base.be,account_payment_term.30joursnet,,,,,ADDECO,French / Français,ADDECO,filun996,Régime National
res.partner_ADDI,ADDI MAROQUINERIE,True,True,,34 . BD BARBES,,75018,PARIS,base.fr,account_payment_term.60joursfindemois,0033 142599887,,,,ADDI,French / Français,ADDI,cirut375,Régime Intra-Communautaire
res.partner_ADDL01,ADDL SARL,True,True,,"19 BIS, RUE DES FRERES CANEL",BP 16216,98804,NOUMEA,base.nc,account_payment_term.ttbeforeshipment,00687 838821,,navarro.alain@lagoon.nc,,ADDL01,French / Français,ADDL01,foqad617,Régime Extra-Communautaire
res.partner_ADELAA,ADELAAR,True,True,,HELMONDSEWEG 11,,5735,RA AARLE RIXTEL,base.nl,account_payment_term.30joursnet,0492 381508,,,,ADELAA,Dutch / Nederlands,ADELAA,futut223,Régime Intra-Communautaire
res.partner_ADGROE,A & D GROEN (N° 67508),True,True,,REIGERHOF . 104,,2914,KE NIEUWERKERK A/D IJSSEL,base.nl,account_payment_term.30joursnet,,,,,ADGROE,Dutch / Nederlands,ADGROE,molib804,Régime Intra-Communautaire
res.partner_ADINTE,AD  INTERNATIONAL SA,True,True,,PARC D'ACTIVITES DE LA RUE VERTE,ALLEE DES PRELES,59270,BAILLEUL,base.fr,account_payment_term.60joursfindemois,0033 328425694,0033 328426290,,,ADINTE,French / Français,ADINTE,vavam680,Régime Intra-Communautaire
res.partner_ADMARO,AD MAROQUINIERS,True,True,,"13, RUE DE L'ONDAINE",ZI LES 3 PONTS,42500,CHAMBON FEUGEROLLES,base.fr,account_payment_term.60joursfindemois,0033 477400447,0033 477891813,ad.maroquinier@wanadoo.fr,,ADMARO,French / Français,ADMARO,cusoz146,Régime Intra-Communautaire
res.partner_ADMDIS,COMMUNE DE DISON,True,True,,RUE ALBERT Ier . 66,SECTION ENSEIGNEMENT,4820,DISON,base.be,account_payment_term.30joursnet,087 393340,087 341587,,,ADMDIS,French / Français,ADMDIS,duden198,Régime National
res.partner_ADOBE,ADOBE SYSTEMS BENELUX BV,True,True,,HOOGOORDDREEF . 54 A ,,1101,BE AMSTERDAM Z-O,base.nl,account_payment_term.30joursnet,,,,,ADOBE,French / Français,ADOBE,vasad859,Régime Intra-Communautaire
res.partner_ADONIS,ADONIS,True,True,,DREVE DES EQUIPAGES . 31,,1170,BOITSFORT,base.be,account_payment_term.30joursnet,,,,,ADONIS,French / Français,ADONIS,fiver959,Régime National
res.partner_ADOURB,ADOUR BUREAU,True,True,,"106, BOULEVARD TOURASSE",,64000,PAU,base.fr,account_payment_term.60joursfindemois,0033 559807978,0033 559807970 ,,,ADOURB,French / Français,ADOURB,pikep004,Régime Intra-Communautaire
res.partner_ADRIAA,ADRIAANSE TOM LED.(N°1550067057),True,True,,KOPERWIEK . 85,,2903AD ,CAPELLE A/D IJSSEL,base.nl,account_payment_term.30joursnet,0031 104511103,+31 104514073,,,ADRIAA,Dutch / Nederlands,ADRIAA,gamun235,Régime Intra-Communautaire
res.partner_ADSCHI,AD SCHILPEROORT,True,True,,HERENSTR. 72,,2282BZ ,RIJSWIJK,base.nl,account_payment_term.30joursnet,,,,,ADSCHI,Dutch / Nederlands,ADSCHI,liquk388,Régime Intra-Communautaire
res.partner_ADSCHO,AD SCHOENSERVICE ,True,True,,PLEVIERENLAAN . 11,,3645,GN VINKEVEEN,base.nl,account_payment_term.30joursnet,,,,,ADSCHO,Dutch / Nederlands,ADSCHO,zixos608,Régime Intra-Communautaire
res.partner_ADVENT,ADVENTURE BAGS RETAIL BV,True,True,,WHEERMATEN 9,,8331,TL STEENWIJK,base.nl,account_payment_term.30joursnet,,,,,ADVENT,Dutch / Nederlands,ADVENT,xemaf123,Régime Intra-Communautaire
res.partner_AE,A.E.I. B.V,True,True,,POSTBUS 74066,,1070,BB AMSTERDAM,base.nl,account_payment_term.30joursnet,,,,,AE,French / Français,AE,cuzit413,Régime Intra-Communautaire
res.partner_AEPARI,A & E SARL,True,True,,67 . RUE DU TEMPLE,,75003,PARIS,base.fr,account_payment_term.60joursfindemois,0033 142760154,0033 144598542,,,AEPARI,French / Français,AEPARI,14276,Régime Intra-Communautaire
res.partner_AGEMY,AGEMY SA,True,True,,BURGWEG 9,,8647,POLLINKHOVE,base.be,account_payment_term.30joursnet,058 626995,058 627130,,,AGEMY,Dutch / Nederlands,AGEMY,qogex317,Régime National
res.partner_AGTERH,AGTERHOF (DE POTTEKIJKER),True,True,,1e MIDDELLANDSTRAAT . 89 B,,3021,BC ROTTERDAM,base.nl,account_payment_term.30joursnet,0031 104772229,,,,AGTERH,Dutch / Nederlands,AGTERH,fobev687,Régime Intra-Communautaire
res.partner_AHNERT,AHNERT SCHUHMODEN,True,True,res.state_SACHSEN,MÜLHENSTR. 18 A,,4565,REGIS-BREITINGEN,base.de,account_payment_term.30joursnet,03 434391845,,,,AHNERT,English,AHNERT,cexev701,Régime Intra-Communautaire
res.partner_AIRF,ACHATS SERVICE GROUPE LHOTELLIER,True,True,,240 . RUE HELENE BOUCHER,ZI,78530,BUC CEDEX,base.fr,account_payment_term.60joursfindemois,0033 139564300,0033 139564981,,,AIRF,French / Français,AIRF,sujoq653,Régime Intra-Communautaire
res.partner_AIRFR,AIR FRANCE - BOUTIQUE AF,True,True,,"1 , AV MCHAL DEVAUX - BAT CENT",,91551,PARAY -VIELLE POSTE,base.fr,account_payment_term.60joursfindemois,,,,,AIRFR,French / Français,AIRFR,fivaf988,Régime Intra-Communautaire
res.partner_AIRFRA,AIR FRANCE - LA BOUTIQUE,True,True,,"45 , RUE DE PARIS",,95747,ROISSY CDG CDG,base.fr,account_payment_term.60joursfindemois,0033 141565611,0033 141566529,,,AIRFRA,French / Français,AIRFRA,lalex258,Régime Intra-Communautaire
res.partner_AIRLIN,AIR - LINE,True,True,,37 . RUE ERNEST RENAN,,92130,ISSY-LES-MOULINEAUX,base.fr,account_payment_term.60joursfindemois,0033 140934849,,,,AIRLIN,French / Français,AIRLIN,ralig672,Régime Intra-Communautaire
res.partner_AIS,AIS,True,True,,"SHEWARD HOUSE, CRANMORE AVENUE","SHIRLEY, SOLIHULL",B90 4LF,WEST MIDDLANDS,base.uk,account_payment_term.30joursnet,0044 1217112200,0044 1217111334,enquiries@aistores.co.uk,www.aistores.co.uk,AIS,English,AIS,xamuc816,Régime Intra-Communautaire
res.partner_AK,AK LEDERWAREN,True,True,res.state_BRANDENBURG,DORFSTRASSE . 11,,15299,DAMMENDORF,base.de,account_payment_term.30joursnet,0049 3354010979,,,,AK,English,AK,caxod368,Régime Intra-Communautaire
res.partner_ALACOL,A LA COLPORTEUSE,True,True,,EN NEUVICE . 6,,4000,LIEGE,base.be,account_payment_term.30joursnet,,,,,ALACOL,French / Français,ALACOL,qucez483,Régime National
res.partner_ALADDI,ALADDINS CAVE ,True,True,,19 QUEENS ARCADE ,,LS1 6LF,LEEDS,base.uk,account_payment_term.30joursnet,0044 1132457903,,,,ALADDI,English,ALADDI,govej549,Régime Intra-Communautaire
res.partner_ALBIBI,AL BIBI EST,True,True,,SALEM AL MUBARAK STREET,MARIAM COMP.,22060,SALMIYA,base.kw,account_payment_term.ttbeforeshipment,00965 25749020,00965 25749010,,,ALBIBI,English,ALBIBI,xoren932,Régime Extra-Communautaire
res.partner_ALCO,ALCO LBW,True,True,,"ANTWERPSESTRAAT , 112",,2500,LIER,base.be,account_payment_term.30joursnet,03 4911191,,,,ALCO,Dutch / Nederlands,ALCO,tekid063,Régime National
res.partner_ALCOAA,ALCO AARSCHOT,True,True,,THEO DE BEKKERSTRAAT 6,,3200,AARSCHOT,base.be,account_payment_term.30joursnet,016 561300,,alcoaarschot@skynet.be,,ALCOAA,Dutch / Nederlands,ALCOAA,daviv018,Régime National
res.partner_ALCODE,ALCO DEURNE,True,True,,HERENTALSEBAAN 371,,2100,DEURNE,base.be,account_payment_term.30joursnet,03 3211228,03 3211228,,,ALCODE,Dutch / Nederlands,ALCODE,lebes000,Régime National
res.partner_ALDISS,W.J. ALDISS LTD,True,True,,OXBOROUGH LANE,,NR21 8AF,"FAKENHAM , NORFOLK",base.uk,account_payment_term.30joursnet,0044 1328850900,,,,ALDISS,English,ALDISS,tutir281,Régime Intra-Communautaire
res.partner_ALDIZE,ALDI N.V.,True,True,,ERASMUSLAAN . 20,,1804,CARGOVIL - ZEMST,base.be,account_payment_term.30joursnet,02 7565350,02 2526615,,,ALDIZE,French / Français,ALDIZE,bufec106,Régime National
res.partner_ALEMAN,ALEMANY,True,True,,"PASSEIG DE DINTRE, 28",,17300,BLANES,base.es,account_payment_term.ttbeforeshipment,0034 937903337,,alemany@matarocomerc.net,,ALEMAN,English,ALEMAN,relik945,Régime Intra-Communautaire
res.partner_ALESSI,ALESSIO HANDELS GMBH,True,True,,LINDENSTRASSE 8,,2362,BIEDERMANNSDORF,base.at,account_payment_term.30joursnet,,,,,ALESSI,English,ALESSI,letol318,Régime Intra-Communautaire
res.partner_ALEX,ALEX MAROQUINERIE,True,True,,41 . RUE DU CLOCHER,,87000,LIMOGES,base.fr,account_payment_term.60joursfindemois,0033 555326152,,,,ALEX,French / Français,ALEX,bujuc993,Régime Intra-Communautaire
res.partner_ALEXA1,ALEX-ANNE ,True,True,,RUE DESSOLES 32,,32000,AUCH,base.fr,account_payment_term.60joursfindemois,0033 562053964,,ludivine.auch@free.fr,,ALEXA1,French / Français,ALEXA1,riced941,Régime Intra-Communautaire
res.partner_ALIMEN,ALIMENTATION DU CENTRE SPRL,True,True,,PLACE ANTOINE ERNST 23-24,,4880,AUBEL,base.be,account_payment_term.30joursnet,,,,,ALIMEN,French / Français,ALIMEN,jumip774,Régime National
res.partner_ALIXBO,ALIX BOUTIQUE,True,True,,CC AUCHAN,,42390,VILLARD,base.fr,account_payment_term.60joursfindemois,0033 477934476,,,,ALIXBO,French / Français,ALIXBO,xuxav155,Régime Intra-Communautaire
res.partner_ALLEGR,SARL CHOTEAU-LEFEBVRE (ALLEGRETTO),True,True,,11 BIS PL.DE LA REPUBLIQUE,,59650,VILLENEUVE D'ASQ,base.fr,account_payment_term.60joursfindemois,0033 320916511,0033 320918662,allegretto@nordnet.fr,,ALLEGR,French / Français,ALLEGR,1943,Régime Intra-Communautaire
res.partner_ALLERS,ALLER - SIMPLE,True,True,,CC BRETAGNIA,,29600,ST MARTIN DES CHAMPS ,base.fr,account_payment_term.60joursfindemois,0033 298632507,0033 298632507,aller-simple@wanadoo.fr,,ALLERS,French / Français,ALLERS,bonuf258,Régime Intra-Communautaire
res.partner_ALLESZ,ALLES ZUM WOHLFÜHLEN,True,True,res.state_HESSEN,UBER DEN LÄRCHEN . 35,,34474,DIEMELSTADT - RHODEN,base.de,account_payment_term.30joursnet,,,,,ALLESZ,English,ALLESZ,dirox373,Régime Intra-Communautaire
res.partner_ALLROI,ALLRO INVEST NV,True,True,,JUWELIER ALLEMEERSCH,OUDBURGSTRAAT 37,9240,ZELE,base.be,account_payment_term.30joursnet,,,,,ALLROI,Dutch / Nederlands,ALLROI,supaq783,Régime National
res.partner_ALLSPO,ALL SPORT BENELUX,True,True,,VISBEEKSTRAAT 11,,2300,TURNHOUT,base.be,account_payment_term.30joursnet,014 672220,,,,ALLSPO,Dutch / Nederlands,ALLSPO,nekaz654,Régime National
res.partner_ALLUR1,ALLURE SAS,True,True,,"VIA FRANCESCAO GRIMALDI, 36",,146,ROMA,base.it,account_payment_term.30joursnet,0039 664522700,,,,ALLUR1,English,ALLUR1,jataq557,Régime Intra-Communautaire
res.partner_ALLURE,ALLURE DESIGNER ACCESSORIES & GIFTS,True,True,,NEIL T. BLANEY ROAD,LETTERKENNY FORTE SHOPPING CENTRE,,"LETTERKENNY, CO. DONEGAL",base.ie,account_payment_term.ttbeforeshipment,0044 749113717,,,,ALLURE,French / Français,ALLURE,ticub696,Régime Intra-Communautaire
res.partner_ALTENB,ALTENBURG LEDERWAREN,True,True,res.state_RHEINLAND-PFALZ,ALTENMARKT 14,,54595,PRÜM,base.de,account_payment_term.30joursnet,0049 65512576,,,,ALTENB,English,,,Régime Intra-Communautaire
res.partner_ALTREC,STICHTING ALTRECHT,True,True,,POSBUS 21,F.C.I. CREDITEUREN ADMINISTRATIE,3720AA,BILTHOVEN,base.nl,account_payment_term.30joursnet,030 2256525,030 2256988,,,ALTREC,Dutch / Nederlands,ALTREC,gixes066,Régime Intra-Communautaire
res.partner_ALYS,ALYS SAC,True,True,,20 . FAUBOURG CHARTRAIN,,41100,VENDÔME,base.fr,account_payment_term.60joursfindemois,0033 254773027,0033 254732383,,,ALYS,French / Français,ALYS,sones418,Régime Intra-Communautaire
res.partner_AM,A & M LEDERWAREN,True,True,res.state_SACHSEN,KORNMARKT 7,,2625,BAUTZEN/SACHSEN,base.de,account_payment_term.30joursnet,0049 3591211029,493593852451,,,AM,English,AM,xedad980,Régime Intra-Communautaire
res.partner_AMAZO1,AMAZON EU S.A.R.L.,True,True,,5 RUE PLAETIS LUXEMBOURG,C/O PO BOX 4561,SL1 0WA,SLOUGH,base.uk,account_payment_term.30joursnet,0049 89358030,0049 8935803400,,,AMAZO1,English,AMAZO1,jutox560,Régime Intra-Communautaire
res.partner_AMAZON,AMAZON EU S.A.R.L.,True,True,,5 RUE PLAETIS LUXEMBOURG,C/O ACCOUNTING SERVICE CENTER,SL1 1QP,"SLOUGH, BERKSHIRE",base.uk,account_payment_term.30joursnet,0044 298681992,,,,AMAZON,English,AMAZON,pusaj231,Régime Intra-Communautaire
res.partner_AMBEST,AMBEST,True,True,,"P.O. BOX 85190, BANIYAS SQUARE","105, SANABEL BUILDING",,"DEIRA, DUBAI",base.us,account_payment_term.ttbeforeshipment,00971 42233955,,,,AMBEST,French / Français,AMBEST,kigas777,Régime Extra-Communautaire
res.partner_AMBIA1,L'AMBIANCE DECOR,True,True,,"GRAND RUE, 1",,4870,TROOZ,base.be,account_payment_term.30joursnet,,,,,AMBIA1,French / Français,AMBIA1,telop822,Régime National
res.partner_AMBITI,AMBITION SARL,True,True,,2 . RUELLE DES PELLETIERS,,67000,STRASBOURG,base.fr,account_payment_term.60joursfindemois,0033 388750607,0033 388750700,,,AMBITI,French / Français,AMBITI,depid940,Régime Intra-Communautaire
res.partner_AMBRE1,BOUTIQUE AMBRE,True,True,,"RUE DU ROI ALBERT 1ER, 187",,4680,OUPEYE,base.be,account_payment_term.30joursnet,04 2401222,,boutiqueambre@hotmail.com,,AMBRE1,French / Français,AMBRE1,nerit194,Régime National
res.partner_AMDFRA,AMD ART & METAL DESIGN,True,True,,"11, RUE DU MAS DE PORTALY",,34070,MONTPELLIER,base.fr,account_payment_term.60joursfindemois,0033 467065102,0033 467065392,,,AMDFRA,French / Français,AMDFRA,gudix800,Régime Intra-Communautaire
res.partner_AMENDO,AMENDOLA,True,True,,"RUE DU CENTRE , 178",,4420,SAINT-NICOLAS,base.be,account_payment_term.30joursnet,04 2331774,,,,AMENDO,French / Français,AMENDO,casam733,Régime National
res.partner_AMERI,AMERICA EMS FEYEN,True,True,,STATIONSTRAAT 264 A,,6361,BH NUTH,base.nl,account_payment_term.30joursnet,045 5241900,,,,AMERI,Dutch / Nederlands,AMERI,vulut118,Régime Intra-Communautaire
res.partner_AMI,AMICALEMENT VÔTRE,True,True,,55 .RUE DES PETITES ECURIES,CS 40100 ,75468,PARIS CEDEX 10,base.fr,account_payment_term.60joursfindemois,0033 142460555,0033 142460770,,,AMI,French / Français,AMI,bepig561,Régime Intra-Communautaire
res.partner_AMIGLO,AMICALE LYCEE DE GLON,True,True,,RUE ST LAURENT.45,,4460,GLON,base.be,account_payment_term.30joursnet,04 2861644,,,,AMIGLO,French / Français,AMIGLO,baqel438,Régime National
res.partner_AMMARK,LEDERWAREN AM MARKT,True,True,res.state_THÜRINGEN,MARKTSTRASSE 23,,99610,SÖMMERDA,base.de,account_payment_term.30joursnet,0049 363438445,,,,AMMARK,English,AMMARK,qamus167,Régime Intra-Communautaire
res.partner_AMOEBA,AMOEBA,True,True,,55 EAST STREET,,PO19 1JG,CHICHESTER,base.uk,account_payment_term.30joursnet,0044 1243776614,,,,AMOEBA,English,AMOEBA,gafil023,Régime Intra-Communautaire
res.partner_AMOREB,AMORE & BACI,True,True,,LOC. SAN ZENO STRADA E 31A-B/33,,52100,AREZZO,base.it,account_payment_term.30joursnet,0039 57522078,0039 575350119,info@amoreebaci.com,,AMOREB,English,AMOREB,vaxof404,Régime Intra-Communautaire
res.partner_AMPJ,AMPJ - CUIR BAG,True,True,,"2 , RUE ANDRE CHENIER",,78000,VERSAILLES,base.fr,account_payment_term.60joursfindemois,,,,,AMPJ,French / Français,AMPJ,zedov273,Régime Intra-Communautaire
res.partner_AMPOLL,AMPOLLINI,True,True,,RUE ROGIER . 9-11,,4900,SPA,base.be,account_payment_term.30joursnet,087 770154,,,,AMPOLL,French / Français,AMPOLL,tulox936,Régime National
res.partner_AMSAL1,A & M SHOES LTD,True,True,,16 A CHURCH STREET,,NR28 9DA,NORTH WALSHAM ( NORFOLK ),base.uk,account_payment_term.30joursnet,0044 1692405880,,,,AMSAL1,English,AMSAL1,nenep024,Régime Intra-Communautaire
res.partner_ANAHIT,ANAHIT KARAPETYAN PRIVATE,True,True,,10/1 SHINARARNERI STR. 97,,38,YEREVAN,base.am,account_payment_term.ttbeforeshipment,,,massi@davidts.be,,ANAHIT,English,ANAHIT,bitev781,Régime Extra-Communautaire
res.partner_ANAIS1,ANAIS,True,True,,CC CARREFOUR,,2000,LAON,base.fr,account_payment_term.60joursfindemois,0033 323230988,,,,ANAIS1,French / Français,ANAIS1,siqur380,Régime Intra-Communautaire
res.partner_ANAITI,ANAÏTIS SPRL,True,True,,QUAI DU ROI ALBERT 16A,,4020,LIEGE,base.be,account_payment_term.30joursnet,04 3490516,04 3447095,anaitis@skynet.be,,ANAITI,French / Français,ANAITI,zozuj410,Régime National
res.partner_ANCA,VERSCHRAEVEN ANNA,True,True,,LIPPENSLAAN . 80,,8300,KNOKKE,base.be,account_payment_term.30joursnet,,,,,ANCA,Dutch / Nederlands,ANCA,qupix929,Régime National
res.partner_AND,ANDRE CHRIST. ( MARO SYLV.LEFEVRE ),True,True,,27 . RUE DES CORDELIERS,,64000,PAU,base.fr,account_payment_term.60joursfindemois,0033 559272332,,,,AND,French / Français,AND,robom447,Régime Intra-Communautaire
res.partner_ANDRAE,ANDRAE,True,True,res.state_BAYERN,SCHMIEDSTRASSE 3,,86825,BAD WÖRISHOFEN,base.de,account_payment_term.30joursnet,0049 8247333606,,,,ANDRAE,English,ANDRAE,togab747,Régime Intra-Communautaire
res.partner_ANDREA,COMPAGNIE DU BAGAGE (ANDREA),True,True,,CC FLINS,,78410,FLINS SUR SEINE,base.fr,account_payment_term.60joursfindemois,00033 130902533,,andrezhang@gmail.com,,ANDREA,French / Français,ANDREA,tigob524,Régime Intra-Communautaire
res.partner_ANDREW,ANDREW CHARLES,True,True,,46 HIGH STREET,,MK16 8AQ,NEWPORT PAGNELL,base.uk,account_payment_term.30joursnet,0044 1908613534,,,,ANDREW,English,ANDREW,xorun866,Régime Intra-Communautaire
res.partner_ANDUGA,PAPETERIE ANDUGAR,True,True,,6 . AVENUE CARNOT,,25000,BESANCON,base.fr,account_payment_term.60joursfindemois,0033 81881980,0033 81809857,,,ANDUGA,French / Français,ANDUGA,xifif231,Régime Intra-Communautaire
res.partner_ANGEL,DIE BRIEFTASCHE,True,True,res.state_BADEN-WÜRTTEMBERG,HAUPTSTR. 26,,78647,TROSSINGEN,base.de,account_payment_term.30joursnet,0049 7425220150,0049 7425220151,,,ANGEL,English,ANGEL,mopaf683,Régime Intra-Communautaire
res.partner_ANIS,ANIS (BAGS & MORE),True,True,,JURBARKO ST. 2,,47183,KAUNAS,base.lt,account_payment_term.ttbeforeshipment,+370 37362770,370 37363632,,,ANIS,English,ANIS,musef511,Régime Intra-Communautaire
res.partner_ANJOU1,ANJOU CHAUSSURES,True,True,,"19, RUE NATIONALE",,49290,CHALONNES SUR LOIRE,base.fr,account_payment_term.60joursfindemois,0033 241780083,,,,ANJOU1,French / Français,ANJOU1,vefub983,Régime Intra-Communautaire
res.partner_ANNAG1,ANNA G.,True,True,res.state_SACHSEN,KÖNIGSTRASSE 11,,1097,DRESDEN,base.de,account_payment_term.30joursnet,0049 3518029328,0049 3514045375,info@mode-dresden.de,,ANNAG1,English,ANNAG1,quqoc909,Régime Intra-Communautaire
res.partner_ANNIMO,ANNIMO JUWELIERS BVBA,True,True,,WALESTRAAT 16,,9130,VERREBROEK,base.be,account_payment_term.30joursnet,03 7795221,,,,ANNIMO,Dutch / Nederlands,ANNIMO,qafaz191,Régime National
res.partner_ANOLI1,ANOLIS MAROQ. - SARL KPJ,True,True,,"18, RUE COURAYE",,50400,GRANVILLE,base.fr,account_payment_term.60joursfindemois,0033 233500597,,,,ANOLI1,French / Français,ANOLI1,focok350,Régime Intra-Communautaire
res.partner_ANTAUE,ANTAUER'S E.U. LEDERWAREN,True,True,,MARIAHILFERSTRASSE 115/2+3,,1060,WIEN,base.at,account_payment_term.30joursnet,0043 15976695,,,,ANTAUE,English,ANTAUE,rabet374,Régime Intra-Communautaire
