id,ref,name,responsible,mobile,phone,fax,email,property_supplier_payment_term/id,website,street,street2,zip,city,country,lang,property_account_position,vat,supplier
res.partner_DIV001,DIV001,D.I.V. C/O BPOST,,,,,,account.account_payment_term_net,,"RUE JOSEPH WAUTERS, 53",DISTRIBUTION CENTER 2,5580,JEMELLE,BE,fr_FR,Régime National,,True
res.partner_DONGGU,DONGGU,DONGGUAN OUFEIYA LEATHER CO. LTD,,,+852 23180335,+852 29509392,info@oufeiya.com.cn,account.account_payment_term_net,,"FLAT/RM 12 11/F, TOWER ONE",,,KOWLOON,HK,fr_FR,,,True
res.partner_DOUANE,DOUANE,ENTREPOT DES DOUANES,,,042 343805,04 3840749,NOUVEAU FAX CRV AU 09.01.04,account.account_payment_term_net,,AEROPORT DE BIERSET,,4460,BIERSET,BE,fr_FR,Régime National,,True
res.partner_DPD,DPD,DPD PARCEL BELGIUM,,,015.45.11.30-31,015.45.11.39,info@dpd.be,account.account_payment_term_net,,EGIDE WALSCHAERSTRAAT . 20,,2800,MECHELEN,BE,fr_FR,Régime National,,True
res.partner_DSV,DSV,DSV ROAD SA,,,03.897.25.00,03.897.25.09,,account.account_payment_term_net,,SCHOONMANSVELD . 40,,2870,PUURS,BE,fr_FR,Régime National,,True
res.partner_DTZROY,DTZROY,DTZ WINSSINGER TIE LEUNG S.A. N.V.,,,02 6290200,02 6479450,,account.account_payment_term_net,,CHAUSSEE DE LA HULPE 166,,1170,BRUXELLES,BE,fr_FR,Régime National,,True
res.partner_DUPIRE,DUPIRE,TANNERIES DUPIRE,,,2.41.69.4435,2.4169.87.54,,account.account_payment_term_net,,ROUTE DE JUVARDEIL,,49330,CHATEAU NEUF DU PAPE,FR,fr_FR,Régime Intra-Communautaire,,True
res.partner_EDENTI,EDENTI,E-DENTIC,,,0033 472656524,0033 472656493,gtassery@e-dentic.fr,account.account_payment_term_net,,13 CHEMIN DE LA PLAINE,,69390,VOURLES,FR,fr_FR,Régime Intra-Communautaire,,True
res.partner_EDINOV,EDINOV,EDINOVA SRL,,,0039 022158021,0039 022140961,,account.account_payment_term_net,,"VIA PORDENONE, 13",,20132,MILANO,IT,en_US,Régime Intra-Communautaire,,True
res.partner_ELEGIS,ELEGIS,ELEGIS AVOCATS,,,04 3423050,070 225222,,account.account_payment_term_net,,PLACE DES NATIONS-UNIES 7,,4020,LIEGE,BE,fr_FR,Régime National,,True
res.partner_ENI001,ENI001,ENI GAS & POWER S.A.,,,070 224002,02 2909590,,account.account_payment_term_net,,"RUE GUIMARD, 1A",,1040,BRUXELLES,BE,fr_FR,Régime National,,True
res.partner_ENIB01,ENIB01,ENIB SPRL BVBA,,,02 4784326,,enibserv@busmail.net,account.account_payment_term_net,,B.P. 117 ATONIUMSQUARE,,1020,BRUXELLES,BE,fr_FR,Régime National,,True
res.partner_ENVATO,ENVATO,ENVATO,,,,,,account.account_payment_term_net,,PO BOX 21177,LITTLE LONSDALE STREET,VIC8011,VICTORIA,AU,en_US,Régime Extra-Communautaire,,True
res.partner_ESFSEC,ESFSEC,EURO SCHUTZ FRANCE SECURITE,,,,,,account.account_payment_term_net,,"19, RUE LAMBERT",,75018,PARIS,FR,fr_FR,Régime Intra-Communautaire,,True
res.partner_ESSENT,ESSENT,ESSENT BELGIUM,,0479 989510,078.15.79.79,03.400.10.25,,account.account_payment_term_net,,NOORDERSINGEL . 19,,2140,ANTWERPEN,BE,fr_FR,Régime National,,True
res.partner_EULER,EULER,EULER HERMES,,,02 2894162,02 2894489,,account.account_payment_term_net,,"RUE MONTOYER, 15",,1000,BRUXELLES,BE,fr_FR,Régime National,,True
res.partner_EVRA,EVRA,DANIEL EVRARD,,,5.53.58.40.03,5.53.58.94.46,,account.account_payment_term_net,,CHATEAU DE PANISSEAU,,24240,THENAC,FR,fr_FR,Régime Intra-Communautaire,,True
res.partner_EVS,EVS,STUDIO EVS,,,765715148,765715188,,account.account_payment_term_net,,MINERVUM 1702 A,,4817,ZK BREDA,NL,nl_NL,Régime National,,True
res.partner_EXPOTR,EXPOTR,EXPO TRANS,,+39 3496470098,+39 665004846,+39 665003181,,account.account_payment_term_net,,"VIA PORTUENSE, 1555",COMMERCITY - ISOLA P44,148,ROMA,IT,fr_FR,Régime National,,True
res.partner_FACEBO,FACEBO,FACEBOOK IRELAND LTD,,,,,,account.account_payment_term_net,,5-7 HANNOVER QUAY,HANNOVER REACH,,DUBLIN 2,IE,en_US,Régime Intra-Communautaire,,True
res.partner_FAREA,FAREA,FAR EAST WU'S INDUSTRIAL LTD,,,+852 24926908,+852 24905211,,account.account_payment_term_net,,"62-70 TEXACO ROAD, BLOCK A1-A2 4/F",PO YIP BUILDING,,,HK,en_US,Régime Extra-Communautaire,,True
res.partner_FEDERA,FEDERA,FEDERAL EXPRESS,,478302900,80013555,80012025,,account.account_payment_term_net,,BUILDING 119,,1820,MELSBROEK,BE,fr_FR,Régime National,,True
res.partner_FILIEG,FILIEG,FOIRE INTERNATIONALE DE LIEGE,,+32 474 78 00 39,04 2271934,04 2271895,,account.account_payment_term_net,,AVENUE MAURICE DENIS 4,,4000,LIEGE,BE,fr_FR,Régime National,,True
res.partner_FISHER,FISHER,FISHERS LTD,,,0044 1423 810011,0044 1423 810012,fishers@fishers-harrogate.co.uk,account.account_payment_term_net,,FOURTH AVENUE,HORNBEAM PARK,HG2 8QT,HARROGATE,GB,en_US,Régime Intra-Communautaire,,True
res.partner_FLANDE,FLANDE,FLANDERS DISTRIBUTION NV,,,056 733232,056 733230,info@flandersdistribution.be,account.account_payment_term_net,,HOOGSTRAAT 56B,,8531,BAVIKHOVE,BE,nl_NL,Régime National,,True
res.partner_FLYER1,FLYER1,FLYER BVBA,,,070 222309,,,account.account_payment_term_net,,DORPSSTRAAT 175,,8340,SIJSELE,BE,nl_NL,Régime National,,True
res.partner_FORMAT,FORMAT,FORMATION PME LIEGE,,0494 561 729,04.229.84.20,04.229.84.29,formation.continue@formation-pme.be,account.account_payment_term_net,,"BOULEVARD SAINTE-BEUVE, 1",,4000,LIEGE,BE,fr_FR,Régime National,,True
res.partner_FORTIS,FORTIS,FORTIS AG,,,04 3410551,,,account.account_payment_term_net,,"AVENNUE DU LUXEMBOURG, 22",,4020,LIEGE,BE,fr_FR,Régime National,,True
res.partner_FULLW,FULLW,FULLWAY INDUSTRIAL CO. LTD.,,00852 97479286,00 852 27457070,00 852 27457882,,account.account_payment_term_net,,"UNIT 601-604, 6/F, CRE CENTRE",886. CHEUNG SHA WAN ROAD,KOWLOON,HONG KONG,HK,en_US,Régime Extra-Communautaire,,True
res.partner_FUTE01,FUTE01,PETIT FUTE.BE,,,02 3746384,02 3757182,,account.account_payment_term_net,,GELEYTSBEEKSTRAAT 168,,1180,BRUXELLES,BE,fr_FR,Régime Intra-Communautaire,,True
res.partner_FUTURE,FUTURE,FUTURE GOAL LIMITED,,+86 1391636136,+86 573 3168503,+86 573 3168506,,account.account_payment_term_net,,"QIAN-JIN BRIDGE, JIU-XING VILLAGE","YU-XIN TOWN, JIAXING",314009,ZHEJIANG,CN,en_US,Régime Extra-Communautaire,,True
res.partner_GALTIE,GALTIE,GALTIER EXPERTISES,,,02 7629999,02 7703161,info@galtier-expertises.com,account.account_payment_term_net,,"AVENUE DE TERVUREN, 164",,1150,BRUXELLES,BE,fr_FR,Régime National,,True
res.partner_GBN001,GBN001,GLOBAL BUSINESS NETWORK SA,,,00352 2644461,00352 26444646,fxd@gbn-europe.com,account.account_payment_term_net,,"2, RUE PLETZER",,8080,BERTRANGE,LU,fr_FR,Régime Intra-Communautaire,,True
res.partner_GEMOSC,GEMOSC,GEMO SCREEN N.V.,,,03 8770120,03 8770398,gemo.screen@skynet.be,account.account_payment_term_net,,BOOMSESTEENWEG 95,,2630,AARTSELAAR,BE,fr_FR,Régime National,,True
res.partner_GEODIS,GEODIS,GEODIS OVERSEAS NV,,,03 3281300,03 2050350,,account.account_payment_term_net,,INDUSTRIELAAN . 25 - 29,,2110,WIJNEGEM,BE,fr_FR,Régime National,,True
res.partner_GERAR1,GERAR1,GERARD & ASSOCIES,,,02 6460652,02 6464017,,account.account_payment_term_net,,"523, AVENUE LOUISE",,1050,BRUXELLES,BE,fr_FR,Régime National,,True
